;H6   O   C1(A1);H7   O   C(A);H8   O   C2a(A2a);H9   O   C3(A3);H10  O   C3a(A3a);H11  O   C4(A4);H12  O   C5(A5);H13;H14  O   A7;H15  O   A8;H16  O   A9;h5   B   C1(B1);g6   B   Д;h6   B   C=B;js6   B   П;k6   B   H;m6   B   T;n6   B   Г;p6   B   Пл;r6   B   Пр;f7   B   X;s7   B   Пр12а;h8   B   C3(B3);u8   B   Пр22а;d9   B   Ш3;f9   B   X3;h9   B   C3(B3);h10  B   C3a(B3a);d11  B   X4;h11   B   C4(B4);b12  B   X5;h12  B   C5(B5);h13;h14  B   B7;h15  B   B8;h16  B   B9;js14 B   CM7;js15 B   CM8;js16 B   CM9
от 1 до 3;"+6
0";"+10
0";"+14
0";"+25
0";"+40
0";"+60
0";"+100
0";"0
+140";"+250
0";"+400
0";"+600
0";0;"-2
-8";"0
-6";"+3
-3";"+6
0";"+8
+2";"+10
+4";"+12
+6";"+16
+10";"-6
-16";"+24
+14";"0
-14";"+32
+18";"-20
-45";"-6
-31";"0
-25";"0
-40";"-20
-80";"0
-60";"-140
-240";"0
-100";"-140
0";"0
-250";"0
-400";"0
-600";"+125
-125";"+200
-200";"+300
-300"
св.3 до 6;"+8
0";"+12
0";"+18
0";"+30
0";"+48
0";"+75
0";"+120
0";"0
+180";"+300
0";"+480
0";"+750
0";"0
-4";"-4
-12";"0
-8";"+4
-4";"+9
+1";"+12
+4";"+16
+8";"+20
+12";"+23
+15";"-10
-22";"+31
+19";"0
-18";"+41
+23";"-30
-60";"-10
-40";"0
-30";"0
-48";"-30
-105";"0
-75";"-140
-260";"0
-120";"-180
0";"0
-300";"0
-480";"0
-750";"+150
-150";"+240
-240";"+375
-375"
""" 6 "" 10";"+9
0";"+16
0";"+22
0";"+36
0";"+58
0";"+90
0";"+150
0";"0
+220";"+360
0";"+580
0";"+900
0";"0
-5";"-5
-14";"0
-9";"+4,5
-4,5";"+10
+1";"+15
+6";"+19
+10";"+24
+15";"+28
+19";"-13
-28";"+38
+23";"0
-22";"+50
+28";"-40
-76";"-13
-49";"0
-36";"0
-58";"-40
-130";"0
-90";"-150
-300";"0
-150";"-220
0";"0
-360";"0
-580";"0
-900";"+180
-180";"+290
-290";"+450
-450"
"""10 ""14";"+11
0";"+18
0";"+27
0";"+43
0";"+70
0";"+110
0";"+180
0";"0
+270";"+430
0";"+700
0";"+1100
0";"0
-6";"-6
-17";"0
-11";"+5,5
-5,5";"+12
+1";"+18
+7";"+23
+12";"+29
+18";"+34
+23";"-16
-34";"+46
+28";"0
-27";"+60
+33";"-50
-93";"-16
-59";"0
-43";"0
-70";"-50
-160";"0
-110";"-150
-330";"0
-180";"-270
0";"0
-430";"0
-700";"0
-1100";"+215
-215";"+350
-350";"+550
-550"
""" 14 "" 18";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
""" 18 "" 24";"+13
0";"+21
0";"+33
0";"+52
0";"+84
0";"+130
0";"+210
0";"0
+330";"+520
0";"+840
0";"+1300
0";"0
-8";"-7
-20";"0
-13";"+6,5
-6,5";"+15
+2";"+21
+8";"+28
+15";"+35
+22";"+41
+28";"-20
-41";"+56
+35";"0
-33";"+74
+41";"-65
-117";"-20
-72";"0
-52";"0
-84";"-65
-195";"0
-130";"-160
-370";"0
-210";"-330
0";"0
-520";"0
-840";"0
-1300";"+260
-260";"+420
-420";"+650
-650"
""" 24 "" 30";;;;;;;;;;;;;;;;;;;;;;;;"+81
+48";;;;;;;;;;;;;;;
""" 30 "" 40";"+16
0";"+25
0";"+39
0";"+62
0";"+100
0";"+160
0";"+250
0";"0
+390";"+620
0";"+1000
0";"+1600
0";"0
-9";"-9
-25";"0
-16";"+8
-8";"+18
+2";"+25
+9";"+33
+17";"+42
+26";"+50
+34";"-25
-50";"+68
+43";"0
-39";"+99
+60";"-80
-142";"-25
-87";"0
-62";"0
-100";"-80
-240";"0
-160";"-170
-420";"0
-250";"-390
0";"0
-620";"0
-1000";"0
-1600";"+310
-310";"+500
-500";"+800
-800"
""" 40 "" 50";;;;;;;;;;;;;;;;;;;;;;;;"+109
+70";;;;;;;"-180
-430";;;;;;;;
""" 50 "" 65";"+19
0";"+30
0";"+46
0";"+74
0";"+120
0";"+190
0";"+300
0";"0
+460";"+740
0";"+1200
0";"+1900
0";"0
-11";"-10
-29";"0
-19";"-9,5
-9,5";"+21
+2";"+30
+11";"+39
+20";"+51
+32";"+60
+41";"-30
-60";"+83
+53";"0
-46";"+133
+87";"-100
-174";"-30
-104";"0
-74";"0
-120";"-100
-290";"0
-190";"-190
-490";"0
-300";"-460
0";"0
-740";"0
-1200";"0
-1900";"+370
-370";"+600
-600";"+950
-950"
""" 65 "" 80";;;;;;;;;;;;;;;;;;;;"+62
+43";;"+89
+59";;"+148
+102";;;;;;;"-200
-500";;;;;;;;
""" 80 "" 100";"+22
0";"+35
0";"+54
0";"+87
0";"+140
0";"+220
0";"+350
0";"0
+540";"+870
0";"+1400
0";"+2200
0";-15;"-12
-34";"0
-22";"+11
-11";"+25
+3";"+35
+13";"+45
+23";"+59
+37";"+73
+51";"-36
-71";"+106
+71";"0
-54";"+178
+124";"-120
-207";"-36
-123";"0
-87";"0
-140";"-120
-340";"0
-220";"-220
-570";"0
-350";"-540
0";"0
-870";"0
-1400";"0
-2200";"+435
-435";"+700
-700";"+1100
-1100"
"""100 ""120";;;;;;;;;;;;;;;;;;;;"+76
+54";;"+114
+79";;"+198
+144";;;;;;;"-240
-590";;;;;;;;
"""120 ""140";"+25
0";"+40
0";"+63
0";"+100
0";"+160
0";"+250
0";"+400
0";"0
+630";"+1000
0";"+1800
0";"+2500
0";"0
-18";"-14
-39";"0
-25";"+12,5
-12,5";"+28
+3";"+40
+15";"+52
+27";"+68
+43";"+88
+63";"-43
-83";"+132
+92";"0
-63";"+233
+170";"-145
-245";"-43
-143";"0
-100";"0
-160";"-145
-395";"0
-250";"-260
-660";"0
-400";"-630
0";"0
-1000";"0
-1600";"0
-2500";"+500
-500";"+800
-800";"+1250
-1250"
"""140 ""160";;;;;;;;;;;;;;;;;;;;"+90
+65";;"+140
+100";;"+253
+190";;;;;;;"-280
-680";;;;;;;;
"""160 ""180";;;;;;;;;;;;;;;;;;;;"+93
+68";;"+148
+108";;"+273
+210";;;;;;;"-310
-710";;;;;;;;
"""180 ""200";"+29
0";"+46
0";"+72
0";"+115
0";"+185
0";"+290
0";"+460
0";"0
+720";"+1150
0";"+1850
0";"+2900
0";"0
-20";"-15
-44";"0
-29";"+14,5
-14,5";"+33
+4";"+46
+17";"+60
+31";"+79
+50";"+106
+77";"-50
-96";"+168
+122";"0
-72";"+308
+236";"-170
-285";"-50
-165";"0
-115";"0
-185";"-170
-460";"0
-290";"-340
-800";"0
-460";"-720
0";"0
-1150";"0
-1850";"0
-2900";"+575
-575";"+925
-925";"+1450
-1450"
"""200 ""225";;;;;;;;;;;;;;;;;;;;"+109
+80";;"+176
+130";;"+330
+258";;;;;;;"-380
-840";;;;;;;;
"""225 ""250";;;;;;;;;;;;;;;;;;;;"+113
+84";;"+186
+140";;"+356
+284";;;;;;;"-420
-880";;;;;;;;
"""250 ""280";"+32
0";"+52
0";"+81
0";"+130
0";"+210
0";"+320
0";"+520
0";"0
+810";"+1300
0";"+2100
0";"+3200
0";"0
-23";"-17
-49";"0
-32";"+16
-16";"+36
+4";"+52
+20";"+66
+34";"+88
+56";"+126
+94";"-56
-108";"+210
+158";"0
-81";"+396
+315";"-190
-320";"-56
-186";"0
-130";"0
-210";"-190
-510";"0
-320";"-480
-1000";"0
-520";"-810
0";"0
-1300";"0
-2100";"0
-3200";"+650
-650";"+1050
-1050";"+1600
-1600"
"""280 ""315";;;;;;;;;;;;;;;;;;;;"+130
+96";;"+222
+170";;"+431
+350";;;;;;;"-540
-1060";;;;;;;;
"""315 ""355";"+36
0";"+57
0";"+89
0";"+140
0";"+230
0";"+360
0";"+570
0";"0
+890";"+1400
0";"+2300
0";"+3600
0";"0
-25";"-18
-54";"0
-36";"+18
-18";"+40
+4";"+57
+21";"+73
+37";"+98
+62";"+144
+108";"-62
-119";"+47
+190";"0
-89";"+479
+390";"-210
-350";"-62
-202";"0
-140";"0
-230";"-210
-570";"0
-360";"-600
-1170";"0
-570";"-890
0";"0
-1400";"0
-2300";"0
-3600";"+700
-700";"+1150
-1150";"+1800
-1800"
"""355 ""400";;;;;;;;;;;;;;;;;;;;"+150
+114";;"+265
+208";;"+524
+435";;;;;;;"-680
-1250";;;;;;;;
"""400 ""450";"+40
0";"+63
0";"+97
0";"+155
0";"+250
0";"+400
0";"+630
0";"0
+970";"+1550
0";"+2500
0";"+4000
0";"0
-27";"-20
-60";"0
-40";"+20
-20";"+45
+5";"+63
+23";"+80
+40";"+108
+68";"+166
+126";"-68
-131";"+295
+232";"0
-97";"+587
+490";"-230
-385";"-68
-223";"0
-155";"0
-250";"-230
-630";"0
-400";"-760
-1390";"0
-630";"-970
0";"0
-1550";"0
-2500";"0
-4000";"+775
-775";"+1250
-1250";"+2000
-2000"
"""450 ""500";;;;;;;;;;;;;;;;;;;;"+177
+132";;"+315
+252";;"+637
+540";;;;;;;"-840
-1470";;;;;;;;
